"REF_DATE","GEO","DGUID","Operational and financial statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2606","","","","0"
"2022-02","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","2730","","","","0"
"2022-03","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4244","","","","0"
"2022-04","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4669","","","","0"
"2022-05","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5276","","","","0"
"2022-06","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6001","","","","0"
"2022-07","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6731","","","","0"
"2022-08","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6849","","","","0"
"2022-09","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5984","","","","0"
"2022-10","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5986","","","","0"
"2022-11","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5534","","","","0"
"2022-12","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6102","","","","0"
"2023-01","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6106","","","","0"
"2023-02","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5766","","","","0"
"2023-03","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6761","","","","0"
"2023-04","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6369","","","","0"
"2023-05","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6437","","","","0"
"2023-06","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6911","","","","0"
"2023-07","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7607","","","","0"
"2023-08","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7722","","","","0"
"2023-09","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6706","","","","0"
"2023-10","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6524","","","","0"
"2023-11","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5972","","","","0"
"2023-12","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6757","","","","0"
"2024-01","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6774","","","","0"
"2024-02","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6696","","","","0"
"2024-03","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7584","","","","0"
"2024-04","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7001","","","","0"
"2024-05","Canada","2021A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7265","","","","0"
"2022-01","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","6642782","","","","0"
"2022-02","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","6705918","","","","0"
"2022-03","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","10447766","","","","0"
"2022-04","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","11480580","","","","0"
"2022-05","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","13186150","","","","0"
"2022-06","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","15951929","","","","0"
"2022-07","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","18718935","","","","0"
"2022-08","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","18921396","","","","0"
"2022-09","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","16502344","","","","0"
"2022-10","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","15468803","","","","0"
"2022-11","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","13904623","","","","0"
"2022-12","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","16134663","","","","0"
"2023-01","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","16492796","","","","0"
"2023-02","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","15216001","","","","0"
"2023-03","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17781663","","","","0"
"2023-04","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","16617811","","","","0"
"2023-05","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17359453","","","","0"
"2023-06","Canada","2021A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","19431386","","","","0"
